quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,ocr_per_confidence,ocr_pbr_confidence,ocr_roe_confidence,ocr_roa_confidence,ocr_yield_confidence,ocr_metrics_text,image_file,sector_adjusted_per_score,finance_quality_score,growth_quality_score,ocr_style_label,adopt_flag,adopt_reason,realized_start_date,realized_end_date,realized_start_close,realized_end_close,realized_return_pct
2025Q4_PRE,1,4221.T,大倉工業,化学,0.9433049494411924,80.79470198675496,28.018757327080905,11.35602376648337,13.70143149284253,0.9479026230053248,14.720812182741115,91.66666666666666,98.20143884892086,100.0,5460.0,6276,110.3235747303544,2025-09-30,2025-09-30,9.1,9.1,25.12,9.1,9.1,medium,medium,low,low,low,"4890布E校
株伍指标
予想PER
（倍）
<25.12>
9.1
(26.12>
9'8
实PER
高值平均
0'8
安值平均
5.5
PBR
68-0
株佰（8/27)
4840m
m
最低購人额
5
48万4000P
4221
16速人特
花",1338.png,0.8658536585365854,0.4103046833422032,0.9470928685470996,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025-10-01,2025-12-30,5370.0,4865.0,-9.40409683426443
2025Q4_PRE,2,3486.T,グローバル・リンク・マネジメント,不動産業,0.942911122937733,111.46216017634094,43.18407960199004,17.079468049983518,20.56766762649116,0.9502748627122244,22.391857506361323,75.0,98.19174343227569,100.0,2878.0,2022,145.982905982906,2025-09-30,2025-09-30,9.0,9.0,25.12,9.0,9.0,medium,medium,low,low,low,"株伍指标
海正格
予想PER
（倍）
<25.12>
9.0
(26.12>
7.7
实PER
高值平均
7.5
安值平均
3.4
PBR
2.92
株佰（8/27)
8
2444m9
最低購人额
24万4400
3486
宋",928.png,0.6590909090909091,0.367489356040447,0.9653738690792976,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025-10-01,2025-12-30,2787.0,2127.0,-23.681377825618945
2025Q4_PRE,4,8361.T,大垣共立銀行,銀行業,0.9321554018094732,79.03142709943327,37.297510865270645,16.146859438787317,19.86917416189697,0.8945804003935818,25.91706539074961,83.33333333333334,99.14407988587732,100.0,3475.0,6274,91.14411441144117,2025-09-30,2025-09-30,8.7,8.7,26.3,8.7,8.7,medium,medium,low,low,low,"株伍指标
布正格
予想PER
（倍）
<26.3>
8.7
<27.3>
8.2
实PER
高值平均
11.9
安值平均
9.1
PBR
0.40
株（8/27)
2
3140m
最低購人额
5
31万4000m
8361
銀",3376.png,0.71875,0.5604776476849388,0.9527075572112826,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025-10-01,2025-12-30,3390.0,4690.0,38.34808259587022
2025Q4_PRE,5,9691.T,両毛システムズ,情報・通信業,0.9302182011708356,74.9514563106796,44.16,20.57663679323439,23.01480484522207,0.8956124739009153,15.46762589928058,83.33333333333334,98.57768052516413,75.0,4505.0,6533,119.75609756097565,2025-09-30,2025-09-30,9.0,9.0,26.3,9.0,9.0,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<26.3>
9.0
<27.3>
6'8
实PER
高值平均
8.3
安值平均
5.0
PBR
1.01
株倡(8/27)
3975F
最低購人额
5
21
39万75009
速理特
9691
情
克0y1",3827.png,0.9543189368770764,0.6095130388504524,0.910557477381586,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025-10-01,2025-12-30,4475.0,4595.0,2.681564245810053
2025Q4_PRE,9,7419.T,ノジマ,小売業,0.9274028738690796,84.9065151814723,25.9316684535561,19.376516288868952,25.528696276940437,0.9078188101768184,12.704915849152007,83.33333333333334,97.5932581932536,100.0,1351.6666259765625,6533,106.99335772994831,2025-09-30,2025-09-30,8.1,8.1,26.3,8.1,8.1,medium,medium,low,low,low,"3640布E校
株伍指标
予想PER
（倍）
<26.3>
8.1
<27.3>
7.5
实PER
高值平均
7.9
安值平均
5.1
PBR
1.52
株倡(8/27)
2
3345F
最低購人额
5
7.2
33万4500m
7419
证23特
小
年色",2883.png,0.9248466257668712,0.5970130388504524,0.9380987227248536,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025-10-01,2025-12-30,1345.0,1190.0,-11.524163568773238
2025Q4_PRE,11,343A.T,ＩＡＣＥトラベル,サービス業,0.9224853645556148,81.88235294117648,48.08429118773947,24.141883921705627,48.54368932038835,0.8359102899450075,7.849829351535831,100.0,96.7459324155194,100.0,1546.0,226,81.88235294117648,2025-09-30,2025-09-30,14.8,14.8,26.3,14.8,14.8,medium,medium,low,low,low,"1530
株伍指标
予想PER
（倍）
<26.3>
14.8
<27.3>
14.2
实PER
高值平均
安值平均
PBR
1.69
株幅(8/27)
1371月
最低購人额
5
4.8
13万71009
343A",904.png,0.5598130841121496,0.5902208621607237,0.9529204364023418,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025-10-01,2025-12-30,1488.0,1545.0,3.8306451612903247
2025Q4_PRE,13,1384.T,ホクリヨウ,水産・農林業,0.9212825971261308,99.51219512195122,50.5521472392638,23.49732040032815,36.51477832512315,0.8786491911096682,21.141374837872892,83.33333333333334,95.11627906976744,100.0,2454.0,2721,149.89816700610996,2025-09-30,2025-09-30,8.6,8.6,26.3,8.6,8.6,medium,medium,low,low,low,"2217
株伍指标
予想PER
（倍）
<26.3>
8.6
<27.3>
9.0
实PER
高值平均
8.6
安值平均
5.2
PBR
1.21
株倡(8/27)
2
2085月
最低購人额
5
6.5
20万8500F
单弓特
1384
钟色",15.png,0.9166666666666666,0.5992682277807344,0.964442522618414,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025-10-01,2025-12-30,2374.0,3015.0,27.000842459983154
2025Q4_PRE,14,1893.T,五洋建設,建設業,0.9194252261841406,77.28447291452471,28.854013541993684,13.017969588383824,15.60452976153841,0.9057643222954472,8.589042768086475,75.0,97.3288814691152,95.0,1166.0,6276,94.3009577465018,2025-09-30,2025-09-30,11.8,11.8,26.3,11.8,11.8,medium,medium,low,low,low,"1112
株伍指标
予想PER
（倍）
<26.3>
11.8
<27.3>
11.4
实PER
高值平均
115.2
安值平均
91.2
PBR
1.73
株佰（8/27)
1070m
最低購人额
5
72
10万7000m
1893
建",149.png,0.6966666666666667,0.5869744544970729,0.9233102714209686,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025-10-01,2025-12-30,1139.0,1575.5,38.32309043020192
2025Q4_PRE,16,4016.T,ＭＩＴホールディングス,情報・通信業,0.9152634379989358,74.20689655172414,48.41363102232668,23.90145227102342,30.11152416356877,0.7588404488383423,16.913580246913583,75.0,100.0,100.0,1263.0,1291,90.785498489426,2025-09-30,2025-09-30,11.8,11.8,25.11,11.8,11.8,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.11>
11.8
<26.11>
10.1
实PER
高值平均
37.0
安值平均
18.0
PBR
2.85
株倡(8/27)
1013月
最低購人额
10万1300m
8M速C特
4016
情
仲",1230.png,0.877906976744186,0.4127128791910591,0.9271088344864288,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025-10-01,2025-12-30,1200.0,975.0,-18.75
2025Q4_PRE,17,7110.T,クラシコム,小売業,0.9144491750931348,90.69965870307166,40.56603773584906,20.055000981577923,33.3144154370034,0.8578949014984563,12.023898431665426,83.33333333333334,95.14687100893995,100.0,2235.0,878,98.66666666666666,2025-09-30,2025-09-30,19.9,19.9,25.7,19.9,19.9,medium,medium,low,low,low,"株伍指标
（倍）
予想PER
<25.7>
19.9
(26.7>
17.3
实PER
高值平均
18.3
安值平均
11.1
PBR
2.51
株佰（8/27)
5
17589
最低購人额
5
17万58009
7110
小",2719.png,0.4723926380368098,0.4594598190526877,0.9526942522618416,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025-10-01,2025-12-30,2191.0,2338.0,6.709265175718859
2025Q4_PRE,19,4495.T,アイキューブドシステムズ,情報・通信業,0.9079084619478448,80.6384455239417,41.852861035422336,23.130764935442365,35.60895685417804,0.8706278366761138,15.009041591320072,75.0,95.5229357798165,100.0,2603.0,1377,96.60120845921448,2025-09-30,2025-09-30,16.4,16.4,26.6,16.4,16.4,medium,medium,low,low,low,"株伍指标
（倍）
予想PER
<26.6>
16.4
<27.6>
14.4
实PER
高值平均
22.5
安值平均
13.0
PBR
4.55
株幅(8/27)
2384m
最低購人额
1.8
23万84009
4495
情",1509.png,0.6868770764119602,0.7495542841937199,0.9471593932943054,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025-10-01,2025-12-30,2538.0,2760.0,8.747044917257686
2025Q4_PRE,21,8550.T,栃木銀行,銀行業,0.9069451836083022,78.79858657243817,25.87064676616915,14.733450982105907,17.602040816326525,0.8501824456939503,27.710843373493976,83.33333333333334,99.02152641878668,85.0,506.0,6276,93.12977099236642,2025-09-30,2025-09-30,8.5,8.5,26.3,8.5,8.5,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<26.3>
8.5
<27.3>
7.4
实PER
高值平均
16.7
安值平均
10.0
PBR
0-32
株倡(8/27)
477A
最低購人额
5
14.8
4万7700F
8550
特
銀",3413.png,0.76875,0.5684872272485365,0.8929284193720064,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025-10-01,2025-12-30,491.0,726.0,47.86150712830957
2025Q4_PRE,23,2981.T,ランディックス,不動産業,0.9051836083022886,86.36721828211189,41.02564102564104,24.29289853774302,36.6557734204793,0.908190130993324,16.78929765886288,83.33333333333334,93.47826086956522,95.0,2365.0,1515,124.38330170777986,2025-09-30,2025-09-30,8.3,8.3,26.3,8.3,8.3,medium,medium,low,low,low,"2509布E楼
株伍指标
予想PER
（倍）
<26.3>
8.3
<27.3>
8'9
实PER
高值平均
8'6
安值平均
5.6
PBR
1.47
株倡(8/27)
3
2280m
最低購人额
5
8.1
22万8000F
2981
宋",650.png,0.7272727272727273,0.5589808408728046,0.949787120808941,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025-10-01,2025-12-30,2236.0,2555.0,14.266547406082283
2025Q4_PRE,27,9409.T,テレビ朝日ホールディングス,情報・通信業,0.9023150612027676,49.7099509147702,20.078740157480325,10.327259660453317,10.70432357043236,0.9066907482101404,16.858522094318605,100.0,99.11373707533237,100.0,3355.0,6273,70.99898063200816,2025-09-30,2025-09-30,12.1,12.1,26.3,12.1,12.1,medium,medium,low,low,low,"3175
株伍指标
（倍）
予想PER
<26.3>
12.1
<27.3>
11.9
实PER
高值平均
11.4
安值平均
7.7
PBR
0.70
株佰（8/27)
3
3140m
最低購人额
5
6.0
31万4000m
9409
情",3717.png,0.8679401993355482,0.6249268227780734,0.8933275678552421,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025-10-01,2025-12-30,3250.0,3330.0,2.4615384615384706
2025Q4_PRE,31,2975.T,スター・マイカ・ホールディングス,不動産業,0.899228312932411,52.38095238095237,26.631016042780757,12.294201296231,15.58441558441559,0.9323332079850588,16.125654450261784,91.66666666666666,96.49551752241238,80.0,1184.0,1653,97.33333333333334,2025-09-30,2025-09-30,10.3,10.3,25.11,10.3,10.3,medium,medium,low,low,low,"157布正款
株伍指标
予想PER
（倍）
<25.11>
10.3
<26.11>
9.3
实PER
高值平均
8.4
安值平均
5.9
PBR
1.35
株幅(8/27)
10
十万排
1125F
最低購人额
11万25009
2975
宋",645.png,0.5757575757575758,0.3363956891963811,0.8806346460883447,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025-10-01,2025-12-30,1220.0,1361.0,11.557377049180316
2025Q4_PRE,33,6542.T,ＦＣホールディングス,サービス業,0.8979297498669504,56.68508287292817,26.49420160570919,10.570313600835677,24.350086655112648,0.8711340501543241,11.259541984732824,83.33333333333334,98.81533101045297,70.0,1418.0,6497,67.81065088757397,2025-09-30,2025-09-30,10.2,10.2,26.6,10.2,10.2,medium,medium,low,low,low,"1435栋E校
株伍指标
予想PER
（倍）
<26.6>
10.2
<27.6>
9.7
实PER
高值平均
8.7
安值平均
6.3
PBR
1.12
株佰（8/27)
5
1410m
最低購人额
5
14万1000m
9.5
6542
18证办特
座",2405.png,0.8514018691588785,0.7210750399148483,0.8606240021287919,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025-10-01,2025-12-30,1418.0,1409.0,-0.6346967559943573
2025Q4_PRE,38,8600.T,トモニホールディングス,銀行業,0.8947897817988291,50.22321428571428,23.260073260073263,13.745895787524269,20.715630885122405,0.9355342055428688,23.1858407079646,83.33333333333334,97.96215429403202,95.0,673.0,6276,78.51458885941645,2025-09-30,2025-09-30,7.4,7.4,26.3,7.4,7.4,medium,medium,low,low,low,"671
株伍指标
（倍）
予想PER
<26.3>
7.4
<27.3>
6.9
实PER
高值平均
6.1
安值平均
3.9
PBR
0.43
株倡(8/27)
637A
最低購人额
5
67
6万3700F
8600
銀",3431.png,0.8875,0.5764835018626929,0.8948243746673761,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025-10-01,2025-12-30,660.0,784.0,18.7878787878788
2025Q4_PRE,39,3449.T,テクノフレックス,金属製品,0.8943587014369345,52.62189512419504,28.60465116279069,11.858350971909852,13.611329661683724,0.7885460107981577,9.745390693590872,83.33333333333334,99.93975903614458,100.0,1659.0,1522,55.48266166822869,2025-09-30,2025-09-30,10.1,10.1,25.12,10.1,10.1,medium,medium,low,low,low,"1537
株伍指标
予想PER
（倍）
<25.12>
10.1
(26.12>
10.9
实PER
高值平均
16.0
安值平均
13.2
PBR
1.15
株佰（8/27)
1490m
最低購人额
14万9000m
3449
金",913.png,0.6724137931034483,0.3814129856306546,0.8986096327833955,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025-10-01,2025-12-30,1601.0,2180.0,36.16489693941287
2025Q4_PRE,40,5105.T,ＴＯＹＯ ＴＩＲＥ,ゴム製品,0.8939063331559342,62.67328781295263,27.216828478964405,12.968382176019642,18.07716241443684,0.897594629366311,21.51628403630539,83.33333333333334,95.08950169327528,95.0,3931.0,6276,97.88572866851246,2025-09-30,2025-09-30,9.6,9.6,25.12,9.6,9.6,medium,medium,low,low,low,"3795
株伍指标
予想PER
（倍）
<25.12>
9.6
(26.12>
8.2
实PER
高值平均
6.0
安值平均
3.7
PBR
1.20
株倡(8/27)
3
3727P
最低購人额
5
37万27009
5105
更強特",1789.png,0.7222222222222222,0.3863025545502926,0.9149946780202236,業績急伸型,採用,"達成: sector_adjusted_per_score, ocr_per, persistence_20d_pct, positive_month_ratio_pct, max_drawdown_pct, annual_return_pct_lower, annual_return_pct_upper, quarter_return_pct_lower, quarter_return_pct_upper, trend_r2",2025-10-01,2025-12-30,3911.0,4335.0,10.841217080030674
