date,ticker,sector,action,price,shares,cash_after,table_name,phase,reason,signal_score
2026-01-06,6366.T,建設/建設・土木,BUY,873.0,300,2738100.0,normal,normal,entry,0.8256031721178996
2026-01-06,8387.T,銀行/地方銀行,BUY,1825.985,200,2372903.0,normal,normal,entry,0.6392908386338507
2026-01-06,9534.T,電気ガス/ガス,BUY,786.6249999999999,700,1822265.5,normal,normal,entry,0.5279503563256149
2026-01-06,8075.T,卸売/鉄鋼,BUY,2599.415,200,1302382.5,normal,normal,entry,0.46590551499729055
2026-01-06,8309.T,225/銀行,BUY,4941.0199999999995,100,808280.5,normal,normal,entry,0.4658762319200386
2026-01-09,8075.T,卸売/鉄鋼,SELL,2617.0,200,1331680.5,normal,normal,sell_signal,
2026-01-13,5331.T,ガラス土石/電子部品・産業用電子機器,BUY,6150.0,100,716680.5,normal,normal,entry,0.63967620479236
2026-01-13,8075.T,卸売/鉄鋼,BUY,2666.0,200,183480.5,normal,normal,entry,0.4734711604197866
2026-01-15,6543.T,サービス/メディア,BUY,1377.0,100,45780.5,normal,normal,entry,0.6716863097387987
2026-01-16,8387.T,銀行/地方銀行,SELL,1978.0,200,441380.5,normal,surge,take_profit,
2026-01-16,9534.T,電気ガス/ガス,SELL,810.0,700,1008380.5,normal,surge,sell_signal,
2026-01-16,8309.T,225/銀行,SELL,5151.0,100,1523480.5,normal,surge,sell_signal,
2026-01-16,5331.T,ガラス土石/電子部品・産業用電子機器,SELL,6320.0,100,2155480.5,normal,surge,sell_signal,
2026-01-16,8075.T,卸売/鉄鋼,SELL,2712.0,200,2697880.5,normal,surge,sell_signal,
2026-01-16,6543.T,サービス/メディア,SELL,1329.0,100,2830780.5,normal,surge,sell_signal,
2026-01-19,6366.T,建設/建設・土木,SELL,909.0,300,3103480.5,normal,high_vol,sell_signal,
2026-01-19,9446.T,増額/情報通信,BUY,699.93,600,2683522.5,high_vol,high_vol,entry,0.6144686105993163
2026-01-19,7551.T,前号並み/輸送用機器,BUY,695.89,1900,1361331.5,high_vol,high_vol,entry,0.4069116608164973
2026-01-19,1724.T,建設/設備工事,BUY,732.25,1800,43281.5,high_vol,high_vol,entry,0.40212474221569977
2026-01-23,9446.T,増額/情報通信,SELL,701.0,600,463881.5,high_vol,normal,sell_signal,
2026-01-23,7551.T,前号並み/輸送用機器,SELL,683.0,1900,1761581.5,high_vol,normal,sell_signal,
2026-01-23,1724.T,建設/設備工事,SELL,735.0,1800,3084581.5,high_vol,normal,sell_signal,
2026-01-23,6366.T,建設/建設・土木,BUY,870.8699999999999,300,2823320.5,normal,normal,entry,0.8451262831680211
2026-01-23,4977.T,化学/食品,BUY,1307.32,200,2561856.5,normal,normal,entry,0.7786181225391559
2026-01-23,8387.T,銀行/地方銀行,BUY,2005.6399999999999,200,2160728.5,normal,normal,entry,0.7409998328795764
2026-01-23,6302.T,225/機械,BUY,4838.504999999999,100,1676878.0,normal,normal,entry,0.6140652055255825
2026-01-23,5940.T,金属製品/建設関連製品・設備,BUY,967.295,500,1193230.5,normal,normal,entry,0.6077676054662272
2026-01-26,6366.T,建設/建設・土木,SELL,882.0,300,1457830.5,normal,high_vol,sell_signal,
2026-01-26,4977.T,化学/食品,SELL,1294.0,200,1716630.5,normal,high_vol,sell_signal,
2026-01-26,8387.T,銀行/地方銀行,SELL,1987.0,200,2114030.5,normal,high_vol,sell_signal,
2026-01-26,6302.T,225/機械,SELL,4725.0,100,2586530.5,normal,high_vol,sell_signal,
2026-01-26,5940.T,金属製品/建設関連製品・設備,SELL,929.0,500,3051030.5,normal,high_vol,sell_signal,
2026-01-26,1724.T,建設/設備工事,BUY,747.0,2000,1557030.5,high_vol,high_vol,entry,0.4392079749523428
2026-01-30,1724.T,建設/設備工事,SELL,736.0,2000,3029030.5,high_vol,uptrend,sell_signal,
2026-01-30,8393.T,銀行/地方銀行,BUY,7805.349999999999,100,2248495.5,uptrend,uptrend,entry,0.8583799878548544
2026-01-30,6366.T,建設/建設・土木,BUY,1326.6049999999998,1600,125927.50000000047,uptrend,uptrend,entry,0.8476039255688801
2026-02-02,6366.T,建設/建設・土木,SELL,1232.0,1600,2097127.5000000005,uptrend,uptrend,stop_loss,
2026-02-03,8393.T,銀行/地方銀行,SELL,8320.0,100,2929127.5000000005,uptrend,normal,sell_signal,
2026-02-03,5331.T,ガラス土石/電子部品・産業用電子機器,BUY,6232.099999999999,100,2305917.5000000005,normal,normal,entry,0.7096132527377914
2026-02-03,9534.T,電気ガス/ガス,BUY,848.54,900,1542231.5000000005,normal,normal,entry,0.679277900456444
2026-02-03,5940.T,金属製品/建設関連製品・設備,BUY,942.935,800,787883.5000000005,normal,normal,entry,0.5853085622311865
2026-02-04,8387.T,銀行/地方銀行,BUY,2146.725,100,573211.0000000005,normal,normal,entry,0.787495600432858
2026-02-04,6302.T,225/機械,BUY,5099.36,100,63275.000000000524,normal,normal,entry,0.6349399605133434
2026-02-09,5331.T,ガラス土石/電子部品・産業用電子機器,SELL,6640.0,100,727275.0000000005,normal,surge,sell_signal,
2026-02-09,9534.T,電気ガス/ガス,SELL,872.0,900,1512075.0000000005,normal,surge,sell_signal,
2026-02-09,5940.T,金属製品/建設関連製品・設備,SELL,1010.0,800,2320075.0000000005,normal,surge,sell_signal,
2026-02-09,8387.T,銀行/地方銀行,SELL,2383.0,100,2558375.0000000005,normal,surge,take_profit,
2026-02-09,6302.T,225/機械,SELL,5416.0,100,3099975.0000000005,normal,surge,sell_signal,
2026-02-09,8550.T,銀行/地方銀行,BUY,1030.0,1500,1554975.0000000005,uptrend,surge,entry,0.8812403744874796
2026-02-09,8393.T,銀行/地方銀行,BUY,9240.0,100,630975.0000000005,uptrend,surge,entry,0.85993936596191
2026-02-16,8550.T,銀行/地方銀行,SELL,993.0,1500,2120475.0000000005,uptrend,high_vol,sell_signal,
2026-02-16,8393.T,銀行/地方銀行,SELL,9440.0,100,3064475.0000000005,uptrend,high_vol,sell_signal,
2026-02-16,7619.T,卸売/設備機器・部品,BUY,920.0,3300,28475.000000000466,high_vol,high_vol,entry,0.5280703556038173
2026-02-18,7619.T,卸売/設備機器・部品,SELL,909.0,3300,3028175.0000000005,high_vol,high_vol,sell_signal,
2026-02-18,1724.T,建設/設備工事,BUY,731.24,4100,30091.000000000466,high_vol,high_vol,entry,0.36564676761712844
2026-02-25,1724.T,建設/設備工事,SELL,737.0,4100,3051791.0000000005,high_vol,normal,sell_signal,
2026-02-25,6366.T,建設/建設・土木,BUY,1314.425,500,2394578.5000000005,normal,normal,entry,0.833944414848945
2026-02-25,9534.T,電気ガス/ガス,BUY,906.3949999999999,1300,1216265.0000000007,normal,normal,entry,0.7365878799276181
2026-02-26,6366.T,建設/建設・土木,SELL,1304.0,500,1868265.0000000007,normal,settling,sell_signal,
2026-02-26,9534.T,電気ガス/ガス,SELL,905.0,1300,3044765.000000001,normal,settling,sell_signal,
2026-03-10,9365.T,倉庫運輸/倉庫・運輸サービス,BUY,1631.0,1800,108965.00000000093,high_vol,high_vol,entry,0.5003955365917576
